age_months,age_years,lx
329,27.4167,98963
330,27.5,98958
331,27.5833,98953
332,27.6667,98948
333,27.75,98943
334,27.8333,98938
335,27.9167,98933
336,28.0,98928
337,28.0833,98923
338,28.1667,98918
339,28.25,98913
340,28.3333,98908
341,28.4167,98903
342,28.5,98898
343,28.5833,98894
344,28.6667,98889
345,28.75,98884
346,28.8333,98879
347,28.9167,98874
348,29.0,98869
349,29.0833,98864
350,29.1667,98859
351,29.25,98854
352,29.3333,98849
353,29.4167,98844
354,29.5,98838
355,29.5833,98833
356,29.6667,98828
357,29.75,98823
358,29.8333,98818
359,29.9167,98813
360,30.0,98808
361,30.0833,98803
362,30.1667,98798
363,30.25,98792
364,30.3333,98787
365,30.4167,98782
366,30.5,98776
367,30.5833,98771
368,30.6667,98766
369,30.75,98761
370,30.8333,98756
371,30.9167,98750
372,31.0,98745
373,31.0833,98740
374,31.1667,98734
375,31.25,98728
376,31.3333,98723
377,31.4167,98718
378,31.5,98712
379,31.5833,98706
380,31.6667,98701
381,31.75,98696
382,31.8333,98690
383,31.9167,98684
384,32.0,98679
385,32.0833,98673
386,32.1667,98668
387,32.25,98662
388,32.3333,98656
389,32.4167,98651
390,32.5,98645
391,32.5833,98639
392,32.6667,98634
393,32.75,98628
394,32.8333,98622
395,32.9167,98617
396,33.0,98611
397,33.0833,98605
398,33.1667,98600
399,33.25,98594
400,33.3333,98588
401,33.4167,98583
402,33.5,98577
403,33.5833,98571
404,33.6667,98566
405,33.75,98560
406,33.8333,98554
407,33.9167,98549
408,34.0,98543
409,34.0833,98537
410,34.1667,98530
411,34.25,98524
412,34.3333,98518
413,34.4167,98511
414,34.5,98505
415,34.5833,98499
416,34.6667,98492
417,34.75,98486
418,34.8333,98480
419,34.9167,98473
420,35.0,98467
421,35.0833,98460
422,35.1667,98452
423,35.25,98445
424,35.3333,98438
425,35.4167,98430
426,35.5,98423
427,35.5833,98416
428,35.6667,98408
429,35.75,98401
430,35.8333,98394
431,35.9167,98386
432,36.0,98379
433,36.0833,98371
434,36.1667,98363
435,36.25,98355
436,36.3333,98347
437,36.4167,98339
438,36.5,98331
439,36.5833,98323
440,36.6667,98315
441,36.75,98307
442,36.8333,98299
443,36.9167,98291
444,37.0,98283
445,37.0833,98274
446,37.1667,98265
447,37.25,98256
448,37.3333,98248
449,37.4167,98239
450,37.5,98230
451,37.5833,98221
452,37.6667,98212
453,37.75,98204
454,37.8333,98195
455,37.9167,98186
456,38.0,98177
457,38.0833,98167
458,38.1667,98158
459,38.25,98148
460,38.3333,98138
461,38.4167,98129
462,38.5,98119
463,38.5833,98109
464,38.6667,98100
465,38.75,98090
466,38.8333,98080
467,38.9167,98071
468,39.0,98061
469,39.0833,98051
470,39.1667,98041
471,39.25,98032
472,39.3333,98022
473,39.4167,98012
474,39.5,98002
475,39.5833,97992
476,39.6667,97982
477,39.75,97972
478,39.8333,97963
479,39.9167,97953
480,40.0,97943
481,40.0833,97932
482,40.1667,97921
483,40.25,97910
484,40.3333,97898
485,40.4167,97887
486,40.5,97876
487,40.5833,97865
488,40.6667,97854
489,40.75,97842
490,40.8333,97831
491,40.9167,97820
492,41.0,97809
493,41.0833,97796
494,41.1667,97783
495,41.25,97770
496,41.3333,97757
497,41.4167,97744
498,41.5,97732
499,41.5833,97719
500,41.6667,97706
501,41.75,97693
502,41.8333,97680
503,41.9167,97667
504,42.0,97654
505,42.0833,97640
506,42.1667,97625
507,42.25,97611
508,42.3333,97597
509,42.4167,97582
510,42.5,97568
511,42.5833,97554
512,42.6667,97539
513,42.75,97525
514,42.8333,97511
515,42.9167,97496
516,43.0,97482
517,43.0833,97466
518,43.1667,97450
519,43.25,97434
520,43.3333,97418
521,43.4167,97402
522,43.5,97386
523,43.5833,97369
524,43.6667,97353
525,43.75,97337
526,43.8333,97321
527,43.9167,97305
528,44.0,97289
529,44.0833,97271
530,44.1667,97253
531,44.25,97235
532,44.3333,97217
533,44.4167,97199
534,44.5,97181
535,44.5833,97163
536,44.6667,97145
537,44.75,97127
538,44.8333,97109
539,44.9167,97091
540,45.0,97073
541,45.0833,97053
542,45.1667,97033
543,45.25,97013
544,45.3333,96993
545,45.4167,96973
546,45.5,96952
547,45.5833,96932
548,45.6667,96912
549,45.75,96892
550,45.8333,96872
551,45.9167,96852
552,46.0,96832
553,46.0833,96810
554,46.1667,96788
555,46.25,96766
556,46.3333,96744
557,46.4167,96722
558,46.5,96700
559,46.5833,96677
560,46.6667,96655
561,46.75,96633
562,46.8333,96611
563,46.9167,96589
564,47.0,96567
565,47.0833,96541
566,47.1667,96516
567,47.25,96490
568,47.3333,96465
569,47.4167,96439
570,47.5,96414
571,47.5833,96388
572,47.6667,96362
573,47.75,96337
574,47.8333,96311
575,47.9167,96286
576,48.0,96260
577,48.0833,96231
578,48.1667,96202
579,48.25,96174
580,48.3333,96145
581,48.4167,96116
582,48.5,96088
583,48.5833,96059
584,48.6667,96030
585,48.75,96001
586,48.8333,95972
587,48.9167,95944
588,49.0,95915
589,49.0833,95883
590,49.1667,95851
591,49.25,95819
592,49.3333,95787
593,49.4167,95755
594,49.5,95722
595,49.5833,95690
596,49.6667,95658
597,49.75,95626
598,49.8333,95594
599,49.9167,95562
600,50.0,95530
601,50.0833,95493
602,50.1667,95457
603,50.25,95420
604,50.3333,95384
605,50.4167,95348
606,50.5,95311
607,50.5833,95274
608,50.6667,95238
609,50.75,95202
610,50.8333,95165
611,50.9167,95128
612,51.0,95092
613,51.0833,95051
614,51.1667,95011
615,51.25,94970
616,51.3333,94929
617,51.4167,94888
618,51.5,94848
619,51.5833,94807
620,51.6667,94766
621,51.75,94725
622,51.8333,94684
623,51.9167,94644
624,52.0,94603
625,52.0833,94558
626,52.1667,94513
627,52.25,94468
628,52.3333,94422
629,52.4167,94377
630,52.5,94332
631,52.5833,94287
632,52.6667,94242
633,52.75,94196
634,52.8333,94151
635,52.9167,94106
636,53.0,94061
637,53.0833,94012
